Source	 English	Translation
ClearLineScreen.frm - DisplayMessage	  - This application may not work as designed.	 - Diese Anwendung wird möglicherweise nicht einwandfrei laufen.
ClearLineScreen.frm - DisplayMessage	  of 	von
ScreenDrawing.bas - DisplayMessage	  to 	bis
ControlsScreen.frm - ToolTipText	 3D	3D
OptionsPage.frm - Caption	 3D Rendering Setting	3D-Einstellungen
ControlsReports.frm - Caption	 4 in 1	4 in 1
PVReport4in1.frm - Caption	 90% - Fractile:	90% - Fraktil:
ControlsScreen.frm - ToolTipText	 Additional Tools	zusätzliche Werkzeuge
ControlsScreen.frm - ToolTipText	 Adjust pipe scale	Rohrmaßstab anpassen
OptionsPage.frm - Caption	 Aladdin Hasp	Aladdin Hasp
PVReportMultiProfilex3.frm - Caption	 All Frames	Alle Einzelbilder
ControlsScreen.frm - ToolTipText	 Analysis Report	Analysebericht
PageFunctions.bas - DisplayMessage	 Apply current lens distortion settings?	Aktuelle Objektivverzeichnungseinstellungen anwenden?
DebugForm.frm - Caption	 Apply Rotation	Drehung anwenden
DebugForm.frm - Caption	 Apply Scale	Maßstab anwenden
DebugForm.frm - Caption	 Apply Stretch	Dehnung anwenden
DebugForm.frm - Caption	 Apply X Pos	X Pos anwenden
DebugForm.frm - Caption	 ApplyY Pos	Y Pos anwenden
PipelineDetails.frm - Caption	 Asset No.	Haltungs-Nr.
OptionsPage.frm - DisplayMessage	 Auto	Auto
Fisheye.frm - Caption	 Automatic Calibration	Autokalibrierung
Distance.frm - Caption	 Automatic Counter	automatischer Zähler
DebugForm.frm - Caption	 AutoRotate	Autodrehung
InputCalLen.frm - Caption	 Calibration	Kalibrierung
ControlsScreen.frm - ToolTipText	 Calibration - Horizontal	Kalibrierung - horizontal
InputCalLen.frm - DisplayMessage	 Calibration - Standard	Kalibrierung - Standard
ControlsScreen.frm - ToolTipText	 Calibration - Vertical	Kalibrierung - vertikal
InputCalLen.frm - DisplayMessage	 Calibration - Vertical adjustment	Kalibrierung - vertikale Anpassung
PageFunctions.bas - DisplayMessage	 Camera	Kamera
Fisheye.frm - Caption	 Camera Center X	
Fisheye.frm - Caption	 Camera Center Y	
Fisheye.frm - Caption	 Camera Model	Kameratyp
FisheyeFunctions.bas - DisplayMessage	" Can not read this file, loading default settings."	"Die Datei konnte nicht gelesen werden, Vorgabeeinstellungen werden geladen."
ControlsMain.frm - DisplayMessage	 Can not save to the application directory	Im Anwendungsverzeichnis kann nicht gespeichert werden.
DebugForm.frm - Caption	 Cancel	Abbrechen
ClearLineScreen.frm - DisplayMessage	 Cannot Initialise Hardware Vertexing	Hardware-Vertexing konnte nicht initialisiert werden
ClearLineScreen.frm - DisplayMessage	 Cannot Initialise Mixed Vertexing	Gemischtes Vertexing konnte nicht initialisiert werden
ControlsMain.frm - DisplayMessage	"Cannot save a .PVD file, please register the software to access this."	"Eine .pvd-Datei kann nicht gespeichert werden, hierzu muss die Software registriert sein."
StartUp.bas - DisplayMessage	 Cannot Write to ClearLine.ini File. Check that file is not Write Protected.	"In die ClearLine.ini-Datei kann nicht geschrieben werden. Prüfen Sie bitte, ob die Datei schreibgeschützt ist."
DataEntry.frm - DisplayMessage	 Can't calibrate with a zero length.	Kalibrieren mit Länge Null nicht möglich.
PageFunctions.bas - DisplayMessage	 Can't read file	"Datei kann nicht gelesen werden,"
ClearLineScreen.frm - DisplayMessage	 Capacity	Kapazität
PVReport4in1.frm - Caption	 Capacity Analysis Report	Analysebericht - Kapazität
DebugForm.frm - Caption	 Capacity Offset by %	Offset - Kapazität in %
PVReportProfile.frm - Caption	 Capacity Profile Report	Profilbericht - Kapazität
ControlsScreen.frm - ToolTipText	 Capture image	Einzelbild erfassen
SonarConfig.frm - Caption	 Centre Angle	Mittelwinkel
PipelineDetails.frm - DisplayMessage	 Circle	Kreis
PipelineDetails.frm - Caption	 City	Ort
ControlsScreen.frm - ToolTipText	 Clear	Löschen
AutoTune.frm - ToolTipText	 Clear Mask	Maske löschen
AutoTune.frm - ToolTipText	 Clear Water / Debris Mask	Maskierung von Wasserstand / Ablagerungen löschen
ClearLineScreen.frm - DisplayMessage	 ClearLine.dll is currently 	Die ClearLine.dll ist zur Zeit
ClearLineScreen.frm - DisplayMessage	 ClearLine.dll VERSION ERROR. Expecting 	ClearLine.dll VERSIONSFEHLER: Erwartet wird
Registration.frm - Caption	 Close	Schließen
PVReport4in1.frm - ToolTipText	 Close Report	Bericht schließen
Interfaces.bas - DisplayMessage	 CLPInterface  VERSION ERROR. Expecting 	CLPInterface  VERSIONSERROR. Erwartet wird  
Interfaces.bas - DisplayMessage	 CLPInterface is currently 	CLPInterface ist zur Zeit 
PVReportSingle.frm - Caption	 Co	Co
AutoTune.frm - ToolTipText	 Color	Farbe
PVReport4in1.frm - Caption	 Comments	Bemerkungen
OptionsPage.frm - Caption	 Company Details	Firmendaten
OptionsPage.frm - Caption	 Company Name	Firmenname
ControlsMain.frm - DisplayMessage	 Completed	Fertig
Registration.frm - DisplayMessage	" Congratulations, your ClearLine Profiler Software is now registered.  Please shut-down the application and restart to allow new settings to take effect."	"Herzlichen Glückwunsch, Ihre ClearLine Profiler Software wurde erfolgreich registriert. Schließen Sie bitte die Anwendung und starten Sie sie neu, um die neuen Einstellungen wirksam werden zu lassen."
SonarConfig.frm - Caption	 Connect	Verbinden
ControlsMain.frm - ToolTipText	 Connect Video	Videoverbindung herstellen
InstallationForm.frm - Caption	 Continue	Weiter
Fisheye.frm - Caption	 Contrast	Kontrast
ControlsScreen.frm - ToolTipText	 Control selection	Kontrollauswahl
PVReportSingle.frm - Caption	 Copyright 2006	Copyright 2006
V6Splash.frm - Caption	 Copyright Cleanflow Systems 2003 - 2006	Copyright Cleanflow Systems 2003 - 2006
PageFunctions.bas - DisplayMessage	 Could not find the associated Video File: 	Die dazugehörige Videodatei wurde nicht gefunden:
Distance.frm - Caption	 Count Direction	Zählrichtung
ControlsScreen.frm - ToolTipText	 Crack Measurement Calibration	Kalibrierung der Rissvermessung
ControlsMain.frm - ToolTipText	 Create Viewer	Viewer erstellen
ControlsMain.frm - DisplayMessage	 Creation of Viewer files cancelled.	Erstellen der Viewerdateien abgebrochen.
Distance.frm - Caption	 Current Distance	aktuelle Entfernung
DataEntry.frm - DisplayMessage	 Current finish distance	aktuelle Endentfernung
DataEntry.frm - Caption	 Current start distance	aktuelle Anfangsentfernung
DebugForm.frm - Caption	 Current time from LaserLib	aktuelle Zeit aus der LaserLib
PipelineDetails.frm - Caption	 Date	Datum
PVReportSingle.frm - Caption	 Delete	Markierung löschen
ClearLineScreen.frm - Caption	 Delete All	Alles löschen
PVReportStoredInPVD.frm - ToolTipText	 Delete Report	Bericht löschen
PrecisionVisionGraph.frm - Caption	 Delta	Delta
PVGraphsKeyForm.frm - ToolTipText	 Delta Max	Delta max
PVGraphsKeyForm.frm - ToolTipText	 Delta Min	Delta min
AutoTune.frm - Caption	 Details ...	Details ...
PrecisionVisionGraph.frm - DisplayMessage	 Diameter (Max/Min)	Durchmesser (größter/kleinster)
ScreenDrawing.bas - DisplayMessage	 Diameter Histogram	Durchmesser Histogramm
ControlsScreen.frm - ToolTipText	 Dimension	Abmessung
ClearLineScreen.frm - DisplayMessage	 Direct X VERSION ERROR. Expecting Microsoft Direct X 	Direct X VERSIONSFEHLER. Erwartet wird Microsoft Direct X
PageFunctions.bas - DisplayMessage	 Discard current drawing?	aktuelle Zeichnung verwerfen?
ControlsScreen.frm - ToolTipText	 Display Precision Vision Settings	PrecisionVision-Einstellungen anzeigen
ControlsScreen.frm - ToolTipText	 Display Reference Shape	Bezugsprofil anzeigen
Distance.frm - Caption	 Distance	Entfernung
Distance.frm - Caption	 Distance at Analysis End	Entfernung am Analysenende
Distance.frm - Caption	 Distance at Analysis Start	Entfernung am Analysenstart
AutoTune.frm - Caption	 Distance Information	Entfernungsangaben
ClearLineScreen.frm - DisplayMessage	 DLL ERROR - 	DLL FEHLER -
ScreenDrawing.bas - DisplayMessage	 Do you want to recalculate PV Data?	PV-Daten neu berechnen?
ControlsMain.frm - DisplayMessage	 does not exist. Create this file first. The default language(English) is loaded.	existiert nicht. Erstellen Sie zuerst diese Datei. Die Vorgabesprache (englisch) wird geladen.
Registration.frm - DisplayMessage	 Email not Sent. Please check your EMail Settings.	E-Mail nicht gesendet. Überprüfen Sie bitte Ihre E-Mail-Einstellungen.
Registration.frm - Caption	 EMail Us	Mailen Sie uns
DebugForm.frm - Caption	 End	Ende
Registration.frm - Caption	 End User License Agreement	Endbenutzerlizenzvereinbarung
DataEntry.frm - Caption	 Enter calibration length	Kalibrierungslänge eintragen:
PageFunctions.bas - DisplayMessage	 Export PV data in Microsoft Excel CSV format	PV-Daten im Microsoft Excel CSV-Format exportieren
PageFunctions.bas - DisplayMessage	 Export PV data in Tab Delimited Text format	PV-Daten im Tab-Delimited-Textformat exportieren
PageFunctions.bas - DisplayMessage	 Export single graph in tab delimited text format	Einzelgrafik im Tab-Delimited-Textformat exportieren
ControlsScreen.frm - ToolTipText	 External camera view	externe Kameraansicht
Fisheye.frm - Caption	 FEC Resolution	FEC Auflösung
ControlsMain.frm - DisplayMessage	 File already exists. Will you overwrite?	Datei besteht bereits. Überschreiben?
ControlsMain.frm - DisplayMessage	 file for the language	Sprachdatei
PageFunctions.bas - DisplayMessage	 File not able to be loaded on unregistered application	Die Datei kann nicht in eine unregistrierte Anwendung geladen werden.
PageFunctions.bas - DisplayMessage	 File was not found.	Datei wurde nicht gefunden.
AutoTune.frm - Caption	 Finish Distance	Endentfernung
PVReport4in1.frm - Caption	 Finish Location:	Endpunkt:
PipelineDetails.frm - Caption	 Finish No	End-Nr.
PipelineDetails.frm - Caption	 Finish Node	Endknoten
PageFunctions.bas - DisplayMessage	 Finished Processing	Bearbeitung abgeschlossen
PrecisionVisionGraph.frm - Caption	 Flat	Flach
PrecisionVisionGraph.frm - Caption	 Flat3D	Flach 3D
ControlsScreen.frm - ToolTipText	 FlyBy camera view	Kamera-Flugansicht
ClearLineScreen.frm - Caption	 Font	Schriftart
ClearLineScreen.frm - DisplayMessage	 Frame	Einzelbild
PVGraphsKeyForm.frm - DisplayMessage	 Frame No	Einzelbild-Nr.
DebugForm.frm - Caption	 From	Von
PipelineDetails.frm - Caption	 General Comments	Allgemeine Bemerkungen
Fisheye.frm - Caption	 Go!	Starten
PVReportProfile.frm - Caption	 Horizontal	Horizontal
PageFunctions.bas - DisplayMessage	 How many points of the profile do you wish to export?	Wie viele Profilpunkte wollen Sie exportieren?
Registration.frm - Caption	 I Agree	Ich stimme zu
Registration.frm - Caption	 I Decline	Ich stimme nicht zu
ControlsMain.frm - ToolTipText	 Information and Help	Informationen und Hilfe
Distance.frm - ToolTipText	 Information/Help	Informationen/Hilfe
OptionsPage.frm - Caption	 Input Select	Eingang wählen
ControlsScreen.frm - ToolTipText	 Integrated Area Calculation	integrierte Flächenberechnung
ControlsReference.frm - Caption	 Internal Dia	Innendurchmesser
PipelineDetails.frm - Caption	 Internal Diameter (Expected)	Innendurchmesser (erwartet)
Distance.frm - DisplayMessage	 Invalid data	ungültige Daten
Email.bas - DisplayMessage	 Invalid Path @@Please verify the Path or EMail Address.	unzulässiger Pfad @@ Bitte Pfad oder Email-Adresse überprüfen..
OptionsPage.frm - DisplayMessage	 Invalid selection.	ungültige Auswahl
AutoTune.frm - Caption	 Invert water level	Wasserstand in der Rohrsohle
OptionsPage.frm - Caption	 Language	Sprache
ClearLineProfilerV5.frm - DisplayMessage	 Languages.txt file does not exist. Please create this file first. The default language(English) is loaded.	Die Datei Languages.txt existiert nicht. Erstellen Sie diese zuerst Datei. Die Vorgabesprache (englisch) wird geladen.
AutoTune.frm - Caption	 Laser width	Ringbreite
ClearLineScreen.frm - DisplayMessage	 laserlib.dll is currently 	Die Laserlib.dll ist zur Zeit
ClearLineScreen.frm - DisplayMessage	 LaserLib.dll VERSION ERROR. Expecting 	LaserLib.dll VERSIONSFEHLER. Erwartet wird
Fisheye.frm - Caption	 Lens Correction	Linsenkorrektur
OptionsPage.frm - Caption	 Lens Correction Settings	Linsenkorrektureinstellungen
PageFunctions.bas - DisplayMessage	 Lens Distortion settings have been applied.	Die Objektivverzeichnungseinstellungen wurden angewendet.
DataEntry.frm - Caption	 Limit Line	Begrenzungslinie
PVReportSingle.frm - Caption	 Limit Lines	Begrenzungslinien
ControlsScreen.frm - ToolTipText	 Line	Linie
OptionsPage.frm - DisplayMessage	" Live video is not connected, device setting will not be changed"	"LiveVideo ist nicht angeschlossen, die Geräteeinstellung wird nicht geändert."
Fisheye.frm - Caption	 Load	Laden
DebugForm.frm - Caption	 Load Custom Shape	Benutzerdefiniertes Profil laden
ClearLineScreen.frm - DisplayMessage	 Loading	Laden
ClearLineScreen.frm - DisplayMessage	 Loading 3D data	3D-Daten werden geladen
PageFunctions.bas - DisplayMessage	 Loading data	Daten werden geladen
Fisheye.frm - ToolTipText	 Loads a calibration setting.	lädt eine Kalibrierungseinstellung.
PipelineDetails.frm - Caption	 Location	Standort
OptionsPage.frm - Caption	 Logo	Logo
PVReportProfile.frm - Caption	 Lower =	Untere =
PVReportSingle.frm - Caption	 Lower Limit=	Untere Begrenzung =
V6Splash.frm - Caption	 Major	Hauptversionsnummer
ControlsScreen.frm - ToolTipText	 Map camera view	Kamera-Draufsicht
AutoTune.frm - Caption	 Mask	Maske
Distance.frm - Caption	 Mask: Distance - Counter - Text	Maske: Entfernung - Zähler - Text
PipelineDetails.frm - Caption	 Material	Material
PrecisionVisionGraph.frm - Caption	 Max Diameter	Größter Durchmesser
PrecisionVisionGraph.frm - Caption	 Maximum	Maximum
ScreenDrawing.bas - DisplayMessage	 Maximum	Maximum
StartUp.bas - DisplayMessage	 Media File is not a valid file name.	Mediendatei ist kein gültiger Dateiname.
PrecisionVisionGraph.frm - Caption	 Median Diameter	durchschnittlicher Durchmesser
PVReportMultiProfile.frm - Caption	 Meters	Meter
ScreenDrawing.bas - DisplayMessage	 Min Diameter	kleinster Durchmesser
PrecisionVisionGraph.frm - Caption	 Minimum	Minimum
V6Splash.frm - Caption	 Minor	Nebenversionsnummer
PVReportStoredInPVD.frm - ToolTipText	 Move	verschieben
AutoTune.frm - ToolTipText	 Move Reference Shape	Bezugsprofil verschieben
PVReport4in1.frm - ToolTipText	 Move Report or Text	Bericht oder Text verschieben
PVReportMultiProfile.frm - Caption	 Multi Profile Report	Mehrfach-Profilbericht
ControlsReports.frm - Caption	 Multi Report x3	Mehrfach-Bericht x3
PrecisionVisionGraph.frm - DisplayMessage	 Must disconnect from video before analysing Precision Vision data.	"Sie müssen die Videoverbindung lösen, um mit der Analyse der PrecisionVision-Daten beginnen zu können."
PipelineDetails.frm - DisplayMessage	 Must enter a valid date	Sie müssen ein gültiges Datum eingeben.
PipelineDetails.frm - DisplayMessage	 Must enter a valid time	Sie müssen eine gültige Uhrzeit eingeben.
ClearLineScreen.frm - DisplayMessage	 Must have a pvd file loaded	Eine pvd.Datei muss geladen werden
ClearLineScreen.frm - DisplayMessage	 Must load a Media file first!	Sie müssen zuerst eine Mediendatei laden!
DataEntry.frm - Caption	 New Distance	neue Entfernung
DataEntry.frm - DisplayMessage	 New finish distance	neue Endentfernung
DataEntry.frm - DisplayMessage	 New Label	neuer Eintrag
