Version=1.5		
English	Ingles
This application may not work as designed.	Esta aplicación puede no funcionar como fue diseñado.
of	de
to	a
3D	3D
3D Rendering Setting	Representación 3D Ajuste
4 in 1	4 en 1
90% - Fractile:	90% - Fractil:
1KM Project Report	1KM informe del proyecto
1K Report	1K informe
Additional Tools	herramientas adicionales
Adjust pipe scale	Ajustar escala tubería
Aladdin Hasp	
All Frames	todos los marcos
Analysis Report	Análisis de Informe
Apply current lens distortion settings?	Aplicar la configuración de distorsión de lentes actuales?
Apply Rotation	Aplicar rotación
Apply Scale	Aplicar escala
Apply Stretch	Aplicar tramo
Apply X Pos	Aplicar X Pos
ApplyY Pos	Aplicar Y Pos
Arc Size	Arco Tamaño
Asset No.	número de activos
Auto	Auto
Automatic Calibration	calibración automática
Automatic Counter	Contador automático
AutoRotate	Autorrotar
Calibration	calibración
Calibration - Horizontal	Calibración - Horizontal
Calibration - Standard	Calibración - Estándar
Calibration - Vertical	Calibración - Vertical
Calibration - Vertical adjustment	Calibración - Ajuste vertical
Camera	cámara
Camera Center X	Centro de la cámara X
Camera Center Y	Centro Cámara Y
Camera Model	Modelo de la cámara
Can not read this file, loading default settings.	No se puede leer este archivo, cargar la configuración predeterminada.
Can not save to the application directory	No se puede guardar en el directorio de aplicaciones
Cancel	cancelar
Cannot Initialise Hardware Vertexing	No se puede Inicializar Hardware Vertexing
Cannot Initialise Mixed Vertexing	No se puede Inicializar Mixta Vertexing
Cannot save a .PVD file, please register the software to access this.	No se puede guardar un archivo .pvd, registre el software para acceder a este.
Cannot Write to ClearLine.ini File. Check that file is not Write Protected.	No se puede escribir a ClearLine.ini. Archivo.  Compruebe que el archivo no está protegido contra escritura
Can't calibrate with a zero length.	No se puede calibrar con una longitud cero.
Can't read file	No se puede leer el archivo
Capacity	capacidad
Capacity Analysis Report	Análisis de Capacidad Reportar
Capacity Offset by %	Desplazamiento por% de la capacidad
Capacity Profile Report	Capacidad Perfil Informe
Capture image	Captura de imagen
Centre Angle	Centro de ángulo
Circle	círculo
City	ciudad
Clear	claro
Clear Mask	Borrar Máscara
Clear Water / Debris Mask	Agua Clara / Máscara de Escombros
ClearLine.dll is currently	ClearLine.dll es actualmente
ClearLine.dll VERSION ERROR. Expecting	ERROR ClearLine.dll VERSIÓN. Esperando
Close	cerca
Close Report	Cerrar Reportar
CLPInterface  VERSION ERROR. Expecting	ERROR CLPInterface VERSIÓN. Esperando
CLPInterface is currently	CLPInterface es actualmente
Co	Co
Color	color
Comments	Comentarios
Company Details	Detalles de la compañía
Company Name	nombre de empresa
Completed	terminado
Congratulations, your ClearLine Profiler Software is now registered.  Please shut-down the application and restart to allow new settings to take effect.	Felicitaciones, su Profiler Software ClearLine ahora está registrado.  Por favor de apagar la aplicación y reiniciar para que la nueva configuración surta efecto.
Connect	conectar
Connect Video	Conectar video
Continue	continuar
Contrast	contrastar
Control selection	selección de Control
Filter	filtro
Copyright 2006	Copyright 2006
Copyright Cleanflow Systems 2003 - 2006	Cleanflow Sistemas de Autor 2003 - 2006
Could not find the associated Video File:	No se pudo encontrar el archivo de vídeo asociado:
Count Direction	Dirección Conde
Crack Measurement Calibration	El crack de calibración Medición
Create Viewer	Crear Visor
Creation of Viewer files cancelled.	Creación de archivos de Viewer cancelada.
Current Distance	Distancia actual
Current finish distance	Distancia acabado actual
Current start distance	Distancia de inicio actual
Current time from LaserLib	Hora de LaserLib
Date	fecha
Delete	borrar
Delete All	Eliminar todo
Delete Report	Eliminar Reportar
Delta	delta
Delta Max	Delta Max
Delta Min	Delta Min
Details	Detalles
Diameter (Max/Min)	Diámetro (Máx / Mín)
Diameter Histogram	Histograma Diámetro
Dimension	dimensión
Direct X VERSION ERROR. Expecting Microsoft Direct X	ERROR directa VERSIÓN X. Contar con Microsoft Direct X
Discard current drawing?	Deseche dibujo actual?
Display Precision Vision Settings	Mostrar Ajustes de precisión Vision
Display Reference Shape	Display Referencia Forma
Distance	distancia
Distance at Analysis End	Distancia al Análisis Fin
Distance at Analysis Start	Distancia al Análisis de inicio
Distance Information	Información de Distancia
DLL ERROR -	ERROR DLL -
Do you want to load example .PVD on next run.	¿Desea cargar ejemplo .pvd en la próxima carrera.
Do you want to recalculate PV Data?	¿Quieres volver a calcular los datos de PV?
